2025-08-02T10-42-34: LogOut_File: : logfile started
2025-08-02T10-42-34: Net Status: low-level initialize success.
2025-08-02T10-42-34: Note: this version (1/29/2017) has new data fields added
2025-08-02T10-42-34: time = time since start of game in ms.
2025-08-02T10-42-34: address = address of IP address
2025-08-02T10-42-34: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2025-08-02T10-42-34: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2025-08-02T10-42-34: app_ctos = client to server bytes delta excluding overheads (app data only)
2025-08-02T10-42-34: app_stoc = server to client bytes delta excluding overheads (app data only)
2025-08-02T10-42-34: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2025-08-02T10-42-34: sent = number of packets sent. Spikes can indicate lag.
2025-08-02T10-42-34: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2025-08-02T10-42-34: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2025-08-02T10-42-34: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2025-08-02T10-42-34: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2025-08-02T10-42-34: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2025-08-02T10-42-34: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2025-08-02T10-42-34: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2025-08-02T10-42-34: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2025-08-02T10-42-34: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2025-08-02T10-42-34: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2025-08-02T10-42-34: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2025-08-02T10-42-34: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2025-08-02T10-42-34: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2025-08-02T10-42-34: Latency packet samples = number of packets used in determining average latency from start of game
2025-08-02T10-42-34: Jitter packet samples = number of packets used in determining average jitter from start of game
2025-08-02T10-42-34: reconnect = flag to indicate one or more reconnects occurred
2025-08-02T10-42-34: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
11342,X.X.X.X,63666,13026,13026,63666,0,60,24,0,0,0,0,0,24,0.000000,0,24,24,24,24,58,58,1
21346,X.X.X.X,76482,26548,13522,12816,0,130,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,128,128,0
31348,X.X.X.X,86442,34059,7511,9960,0,166,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,164,164,0
41352,X.X.X.X,95403,42316,8257,8961,0,201,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,198,198,0
51354,X.X.X.X,103705,49334,7018,8302,0,235,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,233,233,0
61356,X.X.X.X,112704,57682,8348,8999,0,271,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,269,269,0
71356,X.X.X.X,155453,67110,9428,42749,0,311,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,309,309,0
81357,X.X.X.X,169757,71837,4727,14304,0,355,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,353,353,0
91358,X.X.X.X,184724,78615,6778,14967,0,461,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,459,459,0
101362,X.X.X.X,207367,88256,9641,22643,0,609,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,606,606,0
111366,X.X.X.X,222433,97083,8827,15066,0,744,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,742,742,0
121369,X.X.X.X,234479,103906,6823,12046,0,849,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,847,847,0
131370,X.X.X.X,257589,116393,12487,23110,0,1045,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,1043,1043,0
141372,X.X.X.X,284990,128945,12552,27401,0,1244,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,1242,1242,0
151376,X.X.X.X,310548,141227,12282,25558,0,1438,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,1435,1435,0
161379,X.X.X.X,347310,155663,14436,36762,0,1658,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,1655,1655,0
171383,X.X.X.X,428513,174775,19112,81203,0,1922,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,1920,1920,0
181387,X.X.X.X,521625,195265,20490,93112,0,2212,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,2209,2209,0
191390,X.X.X.X,608044,215446,20181,86419,0,2505,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,2502,2502,0
201392,X.X.X.X,717384,236035,20589,109340,0,2797,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,2794,2794,0
211397,X.X.X.X,814033,255522,19487,96649,0,3066,26,0,0,0,0,0,26,0.000000,0,26,26,26,26,3064,3064,0
